,unit,age,sex,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
187,PC,Y_GE15,F,ITI4,9.6,10.6,10.4,9.7,11.9,13.2,13.2,12.3,11.6,11.6,11.9,10.4
188,PC,Y_GE15,F,LT00,5.6,10.5,14.5,12.9,11.6,,,,,,,
189,PC,Y_GE15,F,LT01,,,,,,8.0,6.5,6.0,4.8,3.6,3.9,3.6
190,PC,Y_GE15,F,LT02,,,,,,11.6,10.4,9.1,7.5,6.6,6.1,6.3
191,PC,Y_GE15,F,LU00,6.0,6.1,5.1,6.3,5.9,6.4,5.8,7.3,6.6,5.5,5.9,5.5
192,PC,Y_GE15,F,LV00,7.1,14.1,16.3,13.8,14.0,11.1,9.8,8.6,8.4,7.7,6.4,5.4
193,PC,Y_GE15,F,ME00,,,,20.1,20.2,18.8,18.2,17.3,17.1,16.9,15.1,15.7
194,PC,Y_GE15,F,MK00,34.2,32.8,32.2,30.8,30.3,29.0,28.6,25.1,22.7,21.8,19.9,18.4
195,PC,Y_GE15,F,MT00,6.8,7.6,7.1,7.1,7.2,6.1,5.1,5.4,5.2,4.3,3.5,4.0
196,PC,Y_GE15,F,NL11,7.5,7.6,6.9,7.0,8.0,8.2,7.8,7.9,7.7,7.4,5.4,4.5
197,PC,Y_GE15,F,NL12,4.5,5.3,6.0,5.8,6.2,8.7,7.7,7.6,6.2,6.2,5.2,3.7
198,PC,Y_GE15,F,NL13,5.2,4.8,5.4,6.4,7.5,7.2,7.4,7.5,7.7,5.8,4.2,2.9
199,PC,Y_GE15,F,NL21,4.5,4.5,5.6,5.5,5.9,7.1,7.1,7.1,7.1,5.6,4.1,3.2
200,PC,Y_GE15,F,NL22,4.2,4.4,5.1,4.9,6.0,6.3,7.0,6.7,6.1,5.0,3.5,3.2
201,PC,Y_GE15,F,NL23,5.0,5.1,6.2,5.9,7.9,11.4,12.2,9.2,8.4,6.3,5.4,3.8
202,PC,Y_GE15,F,NL31,3.5,4.5,4.7,4.7,5.9,6.2,6.4,6.9,5.1,4.8,3.5,2.8
203,PC,Y_GE15,F,NL32,4.3,4.7,5.2,5.3,5.7,7.1,7.4,6.5,6.0,4.6,3.7,2.9
204,PC,Y_GE15,F,NL33,4.7,5.4,6.1,5.7,7.2,8.2,9.2,8.6,7.5,6.0,4.3,4.2
205,PC,Y_GE15,F,NL34,3.1,2.9,3.7,4.0,4.3,4.9,4.4,5.3,4.8,3.2,3.4,2.8
206,PC,Y_GE15,F,NL41,4.1,4.6,5.4,5.3,5.7,6.8,7.6,7.2,6.1,4.5,3.6,3.2
207,PC,Y_GE15,F,NL42,5.2,5.4,6.1,5.6,5.4,7.4,7.7,6.3,6.3,5.2,3.6,2.8
208,PC,Y_GE15,F,NO01,2.6,3.0,3.3,3.0,2.4,3.9,3.5,4.6,4.1,4.1,4.1,3.9
209,PC,Y_GE15,F,NO02,2.4,2.1,1.9,2.4,2.2,2.8,2.4,4.1,3.3,,,
210,PC,Y_GE15,F,NO03,2.5,2.5,3.3,3.5,3.2,3.5,3.7,4.2,4.7,3.8,3.2,3.1
